variable_name,required_for_smoke_test
age,yes
sodium_last,yes
creatinine_last,yes
bun_last,yes
chloride_last,yes
potassium_last,yes
bicarbonate_last,yes
glucose_last,yes
heart_rate_last,yes
mbp_last,yes
resp_rate_last,yes
spo2_last,yes
temperature_last,yes
uo_mlkghr_6hr_clean,yes
uo_mlkghr_12hr_clean,yes
gender,yes
invasive_vent_pre_t0,yes
noninvasive_vent_pre_t0,yes
hfnc_pre_t0,yes
supplemental_oxygen_pre_t0,yes
tracheostomy_pre_t0,yes
ventilation_no_record_pre_t0,yes
loop_diuretic_pre_t0,yes
vasoactive_pre_t0,yes
rrt_pre_t0,yes
iv_isotonic_crystalloid_pre_t0,yes
dextrose_or_hypotonic_fluid_pre_t0,yes
temporal_split,yes
outcome_na_ge_151,yes
