model_type,final_C,solver,l1_ratio,intercept,development_n,development_events,original_variable_count,transformed_feature_count,final_nonzero_coefficient_count,random_seed,scikit_learn_version,record_type,original_variable,transformed_feature,feature_type,imputation,missing_indicator,scaling,raw_zero_meaning,raw_one_meaning,reference_category,coefficient,coefficient_is_nonzero,transform_order
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,age,numeric__age,numeric_value,median from locked development data,False,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.05682998387503757,True,0
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,sodium_last,numeric__sodium_last,numeric_value,median from locked development data,False,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.6936261133592638,True,1
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,creatinine_last,numeric__creatinine_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,-0.2977653304580726,True,2
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,bun_last,numeric__bun_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.38882763053636155,True,3
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,chloride_last,numeric__chloride_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,-0.2716740499731482,True,4
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,potassium_last,numeric__potassium_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,-0.01591717937604294,True,5
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,bicarbonate_last,numeric__bicarbonate_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,-0.36032042470295905,True,6
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,glucose_last,numeric__glucose_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.18337149971614727,True,7
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,heart_rate_last,numeric__heart_rate_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.11818949301058981,True,8
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,mbp_last,numeric__mbp_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.1289954639367687,True,9
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,resp_rate_last,numeric__resp_rate_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.20584456259008024,True,10
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,spo2_last,numeric__spo2_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.0923190096016446,True,11
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,temperature_last,numeric__temperature_last,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.17113659164283496,True,12
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,uo_mlkghr_6hr_clean,numeric__uo_mlkghr_6hr_clean,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,-0.13386534805965636,True,13
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,uo_mlkghr_12hr_clean,numeric__uo_mlkghr_12hr_clean,numeric_value,median from locked development data,True,StandardScaler: (imputed value - mean) / scale,not applicable,not applicable,not applicable,0.1139072604691054,True,14
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,creatinine_last,numeric__missingindicator_creatinine_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,0.0,False,15
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,bun_last,numeric__missingindicator_bun_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,-0.009392015916319017,True,16
L1-penalized logistic regression,0.3,saga,1.0,-3.707283461539647,23667,460,27,41,32,20260729,1.8.0,transformed_feature,chloride_last,numeric__missingindicator_chloride_last,numeric_missing_indicator,"not applicable; 1 if original value missing, else 0",True,StandardScaler applied to 0/1 indicator,original value observed,original value missing,not applicable,0.04102746822882901,True,17
